GCA_003348235.1	BD26
GCA_003348245.1	BD21
GCA_003348265.1	BD25
GCA_003348295.1	BD22
GCA_003348305.1	BD17
GCA_003348335.1	BD19
GCA_003348355.1	BD12
GCA_003348365.1	BD18
GCA_003348395.1	BD13
GCA_003348405.1	BD10
GCA_003348415.1	BD11
GCA_003348445.1	BD08
GCA_003348465.1	BD05
GCA_003348485.1	BD04
GCA_003348515.1	BD03
GCA_003348535.1	BD49
GCA_003348545.1	BD39
GCA_003348575.1	BD38
GCA_003348585.1	BD35
GCA_003348595.1	BD20
GCA_003348635.1	BD33
GCA_003348655.1	BD14
GCA_003348665.1	BD15
GCA_003348675.1	BD07
GCA_003348715.1	BD06
GCA_003348735.1	BD01
GCA_003348745.1	OYP9F05
GCA_003348755.1	OYP8E03
GCA_003348795.1	OYP8B04
GCA_003348815.1	OYP7G04
GCA_003348825.1	OYP8A02
GCA_003348835.1	OYP7F09
GCA_003348875.1	OYP7C09
GCA_003348885.1	OYP7C01
GCA_003348905.1	OYP7B07
GCA_003348925.1	OYP7B05
GCA_003348955.1	OYP7B03
GCA_003348965.1	OYP6G01
GCA_003348985.1	OYP6F09
GCA_003348995.1	OYP6F04
GCA_003349035.1	OYP6E10
GCA_003349045.1	OYP6E09
GCA_003349055.1	OYP6E05
GCA_003349065.1	OYP6E06
GCA_003349115.1	OYP6D09
GCA_003349125.1	OYP6B02
GCA_003349145.1	OYP6D07
GCA_003349155.1	OYP5F05
GCA_003349195.1	OYP5B11
GCA_003349205.1	OYP4H10
GCA_003349215.1	OYP4H07
GCA_003349245.1	OYP4G07
GCA_003349265.1	OYP4F04
GCA_003349275.1	OYP4E08
GCA_003349315.1	OYP4D04
GCA_003349325.1	OYP4D09
GCA_003349335.1	OYP4B01
GCA_003349365.1	OYP2H11
GCA_003349395.1	OYP2E03
GCA_003349405.1	OYP2C01
GCA_003349435.1	OYP2B04
